top speed,cost new,weight in pounds,miles per gallon,popular color,Target Centroid
214,0,3629,40,bright red,(top speed:179-cost new:193725)
149,188159,3307,44,sunburst red,(top speed:179-cost new:193725)
218,168692,5940,17,glowing red,(top speed:189-cost new:145563)
182,175291,4135,38,red,(top speed:179-cost new:193725)
162,0,5863,40,black,(top speed:179-cost new:193725)
175,158917,4374,43,red,(top speed:179-cost new:193725)
160,122989,5868,52,ultraviolet red,(top speed:189-cost new:145563)
207,193268,5371,35,sunburst red,(top speed:179-cost new:193725)
160,134391,5901,30,sunburst red,(top speed:189-cost new:145563)
163,0,2900,17,bright red,(top speed:174-cost new:162919)
223,153312,2837,45,sunburst red,(top speed:189-cost new:145563)
219,148380,2968,50,black,(top speed:189-cost new:145563)
176,173367,5093,10,ultraviolet red,(top speed:189-cost new:145563)
195,143406,5418,43,red,(top speed:189-cost new:145563)
None,144854,4654,12,bright red,(top speed:174-cost new:162919)
208,146432,4217,21,sunburst red,(top speed:174-cost new:162919)
156,220981,3772,46,bright red,(top speed:179-cost new:193725)
158,0,3077,48,ultraviolet red,(top speed:174-cost new:162919)
192,192723,5330,26,bright red,(top speed:174-cost new:162919)
207,157674,4140,31,ultraviolet red,(top speed:174-cost new:162919)
208,210595,5326,55,black,(top speed:179-cost new:193725)
174,231035,3227,24,glowing red,(top speed:179-cost new:193725)
202,151745,3973,29,bright red,(top speed:174-cost new:162919)
146,190479,4928,38,bright red,(top speed:174-cost new:162919)
191,148716,5371,29,glowing red,(top speed:189-cost new:145563)
218,118893,4002,48,bright red,(top speed:189-cost new:145563)
184,186901,2526,33,glowing red,(top speed:179-cost new:193725)
202,136476,2841,45,ultraviolet red,(top speed:174-cost new:162919)
153,177295,2726,51,bright red,(top speed:174-cost new:162919)
155,194333,4533,39,sunburst red,(top speed:179-cost new:193725)
176,179882,3754,38,ultraviolet red,(top speed:179-cost new:193725)
157,143733,3841,50,red,(top speed:189-cost new:145563)
201,164671,2919,10,bright red,(top speed:174-cost new:162919)
204,172135,5572,43,black,(top speed:174-cost new:162919)
194,178968,5239,nan,black,(top speed:179-cost new:193725)
202,149090,3948,43,black,(top speed:189-cost new:145563)
155,166940,2958,41,sunburst red,(top speed:179-cost new:193725)
189,191600,2704,29,ultraviolet red,(top speed:174-cost new:162919)
176,138960,5846,nan,ultraviolet red,(top speed:189-cost new:145563)
182,178620,2722,19,ultraviolet red,(top speed:174-cost new:162919)
213,162136,4498,14,black,(top speed:179-cost new:193725)
161,203896,5801,21,red,(top speed:179-cost new:193725)
157,139421,3439,nan,bright red,(top speed:174-cost new:162919)
